;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
N°Référence ;Désignation;Catégorie;Conditionnement;Qté/Conditionnement;Dosage;Stock critique;Stock initial;Stock actuel;Statut du stock;Prix d'achat unitaire;Valeur en stock;Prix de vente unitaire;Date Stock Initial;Date de péremption;Alerte de péremption;Lot stock initial;_SearchKey;;;;
;Amarante 500gr;Semences;sachet/500gr;1;500gr;5;;;Niveau satisfaisant;1,75 USD;;3,00 USD;;;Bon état;Lot-Initial-AMARA-SEME-500gr-24012026;;;;;
;Urée sachet/500gr;Engrais granulés;sachet;1;500gr;5;;;Approvisionnement urgent!;0,50 USD;;0,87 USD;;;Bon état;Lot-Initial-URÉE-ENGR-500gr-16012026;;;;;
;Pulvérisateur 5litres;Produits vétérinaires;pce;1;pce;1;;;Niveau satisfaisant;6,88 USD;;15,00 USD;;;Bon état;Lot-Initial-PULVÉ-PROD-pce-15012026;;;;;
;.Amprolin sachet/100gr;Produits vétérinaires;sachet;1;sachet/100gr;2;;;Niveau satisfaisant;4,00 USD;;7,00 USD;;;Bon état;Lot-Initial-.AMPR-PROD-sachet/100gr-14012026;;;;;
;Chaine metalique + colier tissus;Produits veterinaires;pce;1;piece;2;;;Niveau satisfaisant;4,57 USD;;15,00 USD;;;Bon état;Lot-Initial-CHAIN-PROD-piece-16012026;;;;;
;Shampoo + Insectide 250ml;Produits vétérinaires;flacon;1;250ml;1;;;Niveau satisfaisant;6,90 USD;;10,00 USD;;;Bon état;Lot-Initial-SHAMP-PROD-250ml-10012026;;;;;
;Nilon Muselière pr chiens;Produits vétérinaires;pce;1;pce;1;;;Niveau satisfaisant;3,00 USD;;8,00 USD;;;Bon état;Lot-Initial-NILON-PROD-pce-10012026;;;;;
;.Collier de lux;Produits veterinaires;pce;1;pce;1;;;Niveau satisfaisant;7,90 USD;;15,00 USD;;;Bon état;Lot-Initial-.COLL-PROD-pce-10012026;;;;;
;Dog Vest;Produits veterinaires;pce;1;pce;2;;;Niveau satisfaisant;9,57 USD;;20,00 USD;;;Bon état;Lot-Initial-DOGV-PROD-pce-10012027;;;;;
;.60'Chaine metallique pour chien;Produits vétérinaires;pce;1;60';1;;;Niveau satisfaisant;4,00 USD;;20,00 USD;;;Bon état;Lot-Initial-.60'C-PROD-60'-10012026;;;;;
;.Tomate CAL-J 50gr;Semences;bte;1;50gr;3;;;Approvisionnement nécessaire;5,00 USD;;7,00 USD;;;Bon état;Lot-Initial-.TOMA-SEME-50gr-09012026;;;;;
;guants de bain pr chiens;Produits veterinaires;pce;1;pce;1;;;Niveau satisfaisant;2,50 USD;;8,00 USD;;;Bon état;Lot-Initial-GUANT-PROD-pce-08012026;;;;;
;Oestradiole;Produits veterinaires;2amp/sachet;1;2ml;5;;;Niveau satisfaisant;0,18 USD;;3,00 USD;;;Bon état;Lot-Initial-OESTR-PROD-2ml-08012026;;;;;
;Boule de dressage;Produits veterinaires;pce;1;pce;1;;;Niveau satisfaisant;5,30 USD;;9,00 USD;;;Bon état;Lot-Initial-BOULE-PROD-pce-01012025;;;;;
;.Piment kg;semence;sachet/1kg;1;kg;1;;;Niveau satisfaisant;60,00 USD;;130,00 USD;;;Bon état;Lot-Initial-.PIME-SEME-kg-01012025;;;;;
;Lacto-Mass 500ml;produits veterinaires;flacon;1;500ml;2;;;Niveau satisfaisant;1,80 USD;;8,00 USD;;;Bon état;Lot-Initial-LACTO-PROD-500ml-01012025;;;;;
;Okra (Dongodogo) kg;semences;sachet/1kg;1;kg;1;;;Niveau satisfaisant;10,00 USD;;18,00 USD;;;Bon état;Lot-Initial-OKRA-SEME-kg-01012025;;;;;
